Order,Lineage,Extended lineage,Scientific Name,English Name,Assembly ID,Assembly ID main haplotype,Accession # for main haplotype,RefSeq annotation main haplotype,UCSC Browser main haplotype,Assembly tech,sex
b1,Birds,Birds,Ammodramus caudacutus,saltmarsh sparrow,bAmmCau1,bAmmCau1.pri,GCA_027887145.1,GCF_027887145.1,GCF_027887145.1,"HiFi, HiFiasm solo",M
b1,Birds,Birds,Ammospiza nelsoni,Nelson's sparrow,bAmmNel1,bAmmNel1.pri,GCA_027579445.1,GCF_027579445.1,GCF_027579445.1,"HiFi, HiFiasm solo",F
b1,Birds,Birds,Ammospiza maritima,seaside sparrow,bAmmMai1,bAmmMai1.pri,GCA_036010785.1,,GCA_036010785.1,"HiFi, HiFiasm solo",M
b1,Birds,Birds,Passerculus sandwichensis,Savannah sparrow,bPasSan2,bPasSan2.pri,GCA_031885435.1,,GCA_031885435.1,"HiFi, HiFiasm solo",F
b1,Birds,Birds,Spizella passerina,chipping sparrow,bSpiPas1,,,,,,
b1,Birds,Birds,Zonotrichia albicollis,white-throated sparrow,bZonAlb1,bZonAlb1.hap1,GCA_047830755.1,,GCA_047830755.1,"HiFi, Hifiasm Hi-C phasing",F
b1,Birds,Birds,Passer domesticus,house sparrow,bPasDom1,bPasDom1.hap1,GCA_036417665.1,GCF_036417665.1,GCF_036417665.1,"HiFi, Hifiasm Hi-C phasing",F
b1,Birds,Birds,Sylvia borin,garden warbler,bSylBor1,bSylBor1.pri,GCA_014839755.1,,GCA_014839755.1,"CLR I, FALCON unzip",M
b1,Birds,Birds,Sylvia atricapilla,European blackcap,bSylAtr1,bSylAtr1.pri,GCA_009819655.1,GCF_009819655.1,GCF_009819655.1,"CLR I, FALCON unzip",F
b1,Birds,Birds,Hirundo rustica,barn swallow,bHirRus1,bHirRus1.3.pri,GCA_015227805.3,GCF_015227805.1,GCF_015227805.1,"CLR I, FALCON unzip",F
b1,Birds,Birds,Zosterops lateralis,silver-eye,bZosLat1,bZosLat1.hap1,GCA_965231275.1,,GCA_965231275.1,"HiFi, Hifiasm Hi-C phasing",F
b1,Birds,Birds,Geothlypis trichas,common yellowthroat,bGeoTri1,bGeoTri1.pri,GCA_009764595.1,,GCA_009764595.1,"CLR I, FALCON unzip",F
b1,Birds,Birds,Turdus migratorius,American robin,bTurMig1,,,,,,
b1,Birds,Birds,Erithacus rubecula,European robin,bEriRub2,bEriRub2.2.pri,GCA_903797595.2,,GCA_903797595.2,"CLR II, FALCON unzip",F
b1,Birds,Birds,Catharus ustulatus,Swainson's thrush,bCatUst1,bCatUst1.2.pri,GCA_009819885.2,GCF_009819885.2,GCF_009819885.2,"CLR I, FALCON unzip",F
b1,Birds,Birds,Poecile atricapillus,black-capped chickadee,bPoeAtr1,bPoeAtr1.hap1,GCA_030490865.1,GCF_030490865.1,GCF_030490865.1,"HiFi, Hifiasm Hi-C phasing",F
b1,Birds,Birds,Oenanthe melanoleuca,eastern black-eared wheatear,bOenMel1,bOenMel1.pri,GCA_029582105.1,GCF_029582105.1,GCF_029582105.1,"CLR, FALCON unzip, HiC",M
b1,Birds,Birds,Copsychus sechellarum,Seychelles magpie-robin,bCopSec1,,,,,,
b1,Birds,Birds,Dumetella carolinensis,grey catbird,bDumCar1,,,,,,
b1,Birds,Birds,Cinclus cinclus,white-throated dipper,bCinCin1,bCinCin1.pri,GCA_963662255.1,GCF_963662255.1,GCF_963662255.1,"HiFi, Hifiasm solo",M
b1,Birds,Birds,Troglodytes aedon,house wren,bTroAed2,,,,,,
b1,Birds,Birds,Sitta carolinensis,white-breasted nuthatch,bSitCar2,,,,,,
b1,Birds,Birds,Agelaius phoeniceus,red-winged blackbird,bAgePho2,bAgePho2.pri,GCA_020745825.3,GCF_020745825.1,GCF_020745825.1,"HiFi, Hifiasm solo",F
b1,Birds,Birds,Baeolophus bicolor,tufted titmouse,bBaeBic1,,,,,,
b1,Birds,Birds,Molothrus ater,brown-headed cowbird,bMolAte2,,,,,,
b1,Birds,Birds,Sturnus vulgaris,European starling,bStuVul1,,,,,,
b1,Birds,Birds,Acridotheres tristis,common myna,bArcTri1,bArcTri1.pri,GCA_027559615.1,,GCA_027559615.1,"HiFi, Hifiasm solo",F
b1,Birds,Birds,Lycocorax pyrrhopterus,paradise crow,bLycPyr6,bLycPyr6.pri,GCA_014706295.1,,GCA_014706295.1,"CLR, FALCON, ILLUMINA, HiC, CHiCAGO",F
b1,Birds,Birds,Corvus hawaiiensis,Hawaiian crow,bCorHaw1,bCorHaw1.pri,GCA_020740725.1,GCF_020740725.1,GCF_020740725.1,"HiFi, Hifiasm solo",F
b1,Birds,Birds,Corvus moneduloides,New Caledonian crow,bCorMon1,bCorMon1.pri,GCA_009650955.1,GCF_009650955.1,GCF_009650955.1,"CLR I, FALCON unzip",F
b1,Birds,Birds,Cyanocitta cristata,blue jay,bCyaCrs1,bCyaCrs1.hap1,GCA_046129655.1,,GCA_046129655.1,"HiFi, Hifiasm Hi-C phasing",F
b1,Birds,Birds,Coloeus monedula,Western jackdaw,bColMon1,bColMon1.hap1,GCA_965178545.1,,GCA_965178545.1,"HiFi, Hifiasm Hi-C phasing",F
b2,Birds,Birds,Chiroxiphia lanceolata,lanced-tailed manakin,bChiLan1,bChiLan1.pri,GCA_009829145.1,GCF_009829145.1,GCF_009829145.1,"CLR I, FALCON unzip",F
b2,Birds,Birds,Dixiphia pipra,white-crowned manakin,bDixPip1,bDixPip1.hap1,GCA_036250125.1,GCF_036250125.1,GCF_036250125.1,"HiFi, Hifiasm Hi-C phasing",F
b2,Birds,Birds,Willisornis vidua,Xingu scale-backed antbird,bWilVid1,bWilVid1.hap1,GCA_045364795.1,,GCA_045364795.1,"HiFi, Hifiasm Hi-C phasing",F
b2,Birds,Birds,Hypocnemis striata,Spix's warbling antbird,bHypStr1,,,,,,
b3,Birds,Birds,Acanthisitta chloris,rifleman,bAcaChl1,bAcaChl1.pri,GCA_016904835.1,,GCA_016904835.1,"CLR, FALCON unzip",F
b4,Birds,Birds,Strigops habroptilus,kakapo,bStrHab1,bStrHab1.pri,GCA_004027225.2,GCF_004027225.2,GCF_004027225.2,"RSII, FALCON unzip",F
b4,Birds,Birds,Melopsittacus undulatus,budgerigar,bMelUnd1,bMelUnd1.mat,GCA_012275295.1,GCF_012275295.1,GCF_012275295.1,"CLR I, TrioCanu",F
b4,Birds,Birds,Ara ararauna,blue-and-gold macaw,bAraAra1,bAraAra1.hap1,GCA_028858755.1,,GCA_028858755.1,"HiFi, Hifiasm Hi-C phasing",M
b4,Birds,Birds,Anodorhynchus hyacinthinus,hyacinth macaw,bAnoHya1,,,,,,
b4,Birds,Birds,Amazona ochrocephala,yellow-crowned amazon,bAmaOch1,bAmaOch1.hap1,GCA_039720435.1,,GCA_039720435.1,"HiFi, Hifiasm Hi-C phasing",F
b4,Birds,Birds,Lathamus discolor,swift parrot,bLatDis1,bLatDis1.hap1,GCA_037157495.1,GCF_037157495.1,GCF_037157495.1,"HiFi, Hifiasm Hi-C phasing",F
b4,Birds,Birds,Guaruba guaruba,golden parakeet,bGuaGua1,bGuaGua1.hap1,GCA_045345405.1,,GCA_045345405.1,"HiFi, Hifiasm Hi-C phasing",F
b4,Birds,Birds,Psittacula echo,Mauritius parakeet,bPsiEch3,bPsiEch3.pri,GCA_963264785.1,,GCA_963264785.1,"HiFi, Hifiasm solo",M
b5,Birds,Birds,Falco peregrinus,peregrine falcon,bFalPer1,bFalPer1.pri,GCA_023634155.1,GCF_023634155.1,GCF_023634155.1,"HiFi, Hifiasm solo",F
b5,Birds,Birds,Falco rusticolus,gyrfalcon,bFalRus1,bFalRus1.pri,GCA_015220075.1,GCF_015220075.1,GCF_015220075.1,"CLR I, FALCON unzip",F
b5,Birds,Birds,Falco biarmicus,Lanner falcon,bFalBia1,bFalBia1.pri,GCA_023638135.1,GCF_023638135.1,GCF_023638135.1,"HiFi, Hifiasm solo",F
b5,Birds,Birds,Falco cherrug,saker falcon,bFalChe1,bFalChe1.pri,GCA_023634085.1,GCF_023634085.1,GCF_023634085.1,"HiFi, Hifiasm solo",F
b5,Birds,Birds,Falco naumanni,lesser kestrel,bFalNau1,bFalNau1.pat,GCA_017639655.1,GCF_017639655.2,GCF_017639655.2,"CLR I, TrioCanu",F
b5,Birds,Birds,Falco punctatus,Mauritius kestrel,bFalPun1,bFalPun1.pri,GCA_963210335.1,,GCA_963210335.1,"HiFi, Hifiasm solo",F
b6,Birds,Birds,Cariama cristata,red-legged seriema,bCarCri1,bCarCri1.pri,GCA_009819825.1,,GCA_009819825.1,"CLR I, FALCON unzip",F
b7,Birds,Birds,Dryobates pubescens,downy woodpecker,bDryPub1,bDryPub1.pri,GCA_014839835.1,GCF_014839835.1,GCF_014839835.1,"CLR I, FALCON unzip",F
b7,Birds,Birds,Pogoniulus pusillus,red-fronted tinkerbird,bPogPus1,bPogPus1.pri,GCA_015220805.1,GCF_015220805.1,GCF_015220805.1,"CLR I, FALCON unzip",F
b8,Birds,Birds,Merops nubicus,carmine bee-eater,bMerNub1,bMerNub1.pri,GCA_009819595.1,,GCA_009819595.1,"CLR I, FALCON unzip",F
b9,Birds,Birds,Bucorvus abyssinicus,Abyssinian ground hornbill,bBucAby1,bBucAby1.pri,GCA_009769605.1,,GCA_009769605.1,"CLR I, FALCON unzip",F
b10,Birds,Birds,Trogon surrucura,surucua trogon,bTroSur1,bTroSur1.pri,GCA_020746105.1,,GCA_020746105.1,"CLR II, FALCON unzip",F
b11,Birds,Birds,Leptosomus discolor,cuckoo-roller,bLepDis1,bLepDis1.hap2,GCA_034619465.1,,GCA_034619465.1,"HiFi, Hifiasm Hi-C phasing",M
b12,Birds,Birds,Colius striatus,speckled mousebird,bColStr4,bColStr4.hap1,GCA_028858725.2,GCF_028858725.1,GCF_028858725.1,"HiFi, Hifiasm Hi-C phasing",F
b13,Birds,Birds,Strix aluco,tawny owl,bStrAlu1,bStrAlu1.hap1,GCA_031877795.1,,GCA_031877795.1,"HiFi, Hifiasm Hi-C phasing",F
b13,Birds,Birds,Pulsatrix perspicillata,spectacled owl,bPulPer1,bPulPer1.hap1,,,,,
b14,Birds,Birds,Athene noctua,little owl,bAthNoc1,bAthNoc1.hap1,GCA_965140245.1,,GCA_965140245.1,"HiFi, Hifiasm Hi-C phasing",M
b14,Birds,Birds,Aquila chrysaetos,European golden eagle,bAquChr1,bAquChr1.4.pri,GCA_900496995.4,GCF_900496995.4,GCF_900496995.4,"CLR, FALCON unzip",F
b14,Birds,Birds,Haliaeetus albicilla,white-tailed eagle,bHalAlb1,bHalAlb1.pri,GCA_947461875.1,GCF_947461875.1,GCF_947461875.1,"HiFiasm solo, Hi-C, purge dups",F
b14,Birds,Birds,Harpia harpyja,harpy eagle,bHarHar1,bHarHar1.pri,GCA_026419915.1,GCF_026419915.1,GCF_026419915.1,"HiFi, Hifiasm solo",F
b14,Birds,Birds,Morphnus guianensis,crested eagle,bMorGui1,bMorGui1.hap2,GCA_045345515.1,,GCA_045345515.1,"HiFi, Hifiasm Hi-C phasing",F
b14,Birds,Birds,Accipiter gentilis,Northern goshawk,bAccGen1,bAccGen1.pri,GCA_929443795.1,GCF_929443795.1,GCF_929443795.1,"HiFi, Hifiasm solo",F
b14,Birds,Birds,Gypaetus barbatus,bearded vulture,bGypBar2,bGypBar2.pri,GCA_028022735.1,,GCA_028022735.1,"HiFi, Hifiasm solo",F
b14,Birds,Birds,Buteo buteo,common buzzard,bButBut1,bButBut1.hap1,GCA_964188355.1,,GCA_964188355.1,"HiFi, Hifiasm Hi-C phasing",F
b15,Birds,Birds,Sarcoramphus papa,king vulture,bSarPap1,bSarPap1.hap1,GCA_037962945.1,,GCA_037962945.1,"HiFi, Hifiasm Hi-C phasing",F
b16,Birds,Birds,Pelecanus crispus,dalmatian pelican,bPelCri1,bPelCri1.pri,GCA_030463565.1,,GCA_030463565.1,"HiFi, Hifiasm solo",F
b17,Birds,Birds,Ardea goliath,goliath heron,,,,,,,
b18,Birds,Birds,Theristicus caerulescens,plumbeous ibis,bTheCae1,bTheCae1.pri,GCA_020745775.1,,GCA_020745775.1,"CLR II, FALCON unzip",M
b18,Birds,Birds,Platalea leucorodia,Eurasian spoonbill,bPlaLeu2,bPlaLeu2.hap1,GCA_965183815.1,,GCA_965183815.1,"HiFi, Hifiasm Hi-C phasing",F
b19,Birds,Birds,Gulosus aristotelis,European shag,bGulAri2.1,bGulAri2.pri,GCA_949628215.1,,GCA_949628215.1,"HiFi, Hifiasm solo",F
b19,Birds,Birds,Microcarbo africanus,reed cormorant,,,,,,,
b19,Birds,Birds,Phalacrocorax carbo,great cormorant,bPhaCar2,bPhaCar2.pri,GCA_963921805.1,GCF_963921805.1,GCF_963921805.1,"HiFi, Hifiasm solo",F
b20,Birds,Birds,Morus bassanus,Northern gannet,bMorBas2,bMorBas2.hap2,GCA_031468815.1,,GCA_031468815.1,"HiFi, Hifiasm Hi-C phasing",M
b21,Birds,Birds,Ciconia maguari,Maguari stork,bCicMag1,bCicMag1.pri,GCA_017639555.1,,GCA_017639555.1,"CLR II, FALCON unzip",F
b22,Birds,Birds,Calonectris borealis,Cory's shearwater,bCalBor7,bCalBor7.hap1,GCA_964195595.2,,GCA_964195595.2,"HiFi, Hifiasm Hi-C phasing",F
b23,Birds,Birds,Spheniscus humboldti,Humboldt penguin,bSphHub1,bSphHub1.pri,GCA_027474245.1,,GCA_027474245.1,"HiFi, Hifiasm solo",F
b24,Birds,Birds,Gavia stellata,red-throated Loon,bGavSte3,bGavSte3.hap2,GCA_030936135.1,GCF_030936135.1,GCF_030936135.1,"HiFi, Hifiasm Hi-C phasing",M
b25,Birds,Birds,Phaethon aethereus,red-billed tropicbird,bPhaAeh10,bPhaAeh10.mat,GCA_964289735.1,,GCA_964289735.1,"HiFI, HiFiasm trio phasing",F
b26,Birds,Birds,Rhynochetos jubatus,Kagu,bRhyJub1,bRhyJub1.pri,GCA_027574665.1,,GCA_027574665.1,"HiFi, Hifiasm solo",F
b27,Birds,Birds,Pluvialis apricaria,European golden plover,bPluApr1,bPluApr1.pri,GCA_017639485.1,,GCA_017639485.1,"CLR II, FALCON unzip",F
b27,Birds,Birds,Vanellus vanellus,Northern Lapwing,bVanVan1,bVanVan1.hap1,GCA_965231255.1,,GCA_965231255.1,"HiFi, Hifiasm Hi-C phasing",M
b27,Birds,Birds,Alca Torda,razorbill,bAlcTor1,bAlcTor1.pri,GCA_008658365.1,,GCA_008658365.1,"CLR, FALCON unzip",M
b27,Birds,Birds,Numenius arquata,Eurasian curlew,bNumArq3,bNumArq3.hap1,GCA_964106895.1,,GCA_964106895.1,"HiFi, Hifiasm Hi-C phasing",F
b27,Birds,Birds,Sterna hirundo,common tern,bSteHir1,bSteHir1.pri,GCA_009819605.1,,GCA_009819605.1,"CLR I, FALCON unzip",F
b27,Birds,Birds,Rissa tridactyla,black-legged kittiwake,bRisTri1,bRisTri1.pat,GCA_028500815.1,GCF_028500815.1,GCF_028500815.1,"HiFi, Hifiasm trio",F
b27,Birds,Birds,Chroicocephalus ridibundus,black-headed gull,bChrRid1,bChrRid1.pri,GCA_963924245.1,GCF_963924245.1,GCF_963924245.1,"HiFi, Hifiasm trio",M
b27,Birds,Birds,Larus fuscus,lesser black-backed gull,bLarFus1,bLarFus1.pri,GCA_963932225.1,,GCA_963932225.1,"HiFi, Hifiasm solo",F
b27,Birds,Birds,Larus michahellis,yellow-legged gull,blarMic1,blarMic1.pri,GCA_964199755.1,,GCA_964199755.1,"HiFi, Hifiasm solo",F
b27,Birds,Birds,Larus argentatus,herring gull,bLarArg3,bLarArg3.hap1,GCA_964417175.1,,GCA_964417175.1,"HiFi, Hifiasm Hi-C phasing",F
b28,Birds,Birds,Balearica regulorum gibbericeps,grey crowned-crane,bBalReg1,bBalReg1.pri,GCA_011004875.1,,GCA_011004875.1,"CLR I, FALCON unzip",F
b28,Birds,Birds,Grus americana,whooping crane,bGruAme1,bGruAme1.mat,GCA_028858705.1,GCF_028858705.1,GCF_028858705.1,"CLR II, Trio Canu",M
b28,Birds,Birds,Grus grus,Eurasian crane,bGruGru1,bGruGru1.pri,GCA_964106855.1,,GCA_964106855.1,"HiFi, Hifiasm trio",M
b28,Birds,Birds,Porphyrio hochstetteri,takahe,bPorHoc1,bPorHoc1.mat,GCA_020800305.1,,GCA_020800305.1,"HiFi, Trio hifiasm",F
b28,Birds,Birds,Gallinula chloropus,common moorhen,bGalChl1,bGalChl1.hap1,GCA_964237585.1,,GCA_964237585.1,"HiFi, Hifiasm Hi-C phasing",M
b29,Birds,Birds,Opisthocomus hoazin,hoatzin,bOpiHoa1,bOpiHoa1.hap1,GCA_030867145.1,,GCA_030867145.1,"HiFi, Hifiasm Hi-C phasing",F
b30,Birds,Birds,Calypte anna,Anna's hummingbird,bCalAnn1,bCalAnn1.pri,GCA_003957555.2,GCF_003957555.1,GCF_003957555.1,"CLR I, FALCON unzip",F
b30,Birds,Birds,Phaethornis superciliosus,long-tailed hermit,bPhaSup1,bPhaSup1.pri,GCA_023637945.2,,GCA_023637945.2,"CLR I, FALCON unzip",M
b30,Birds,Birds,Heliangelus exortis,tourmaline sunangel,bHelExo1,bHelExo1.hap1,GCA_036169615.1,GCF_036169615.1,GCF_036169615.1,"HiFi, Hifiasm Hi-C phasing",F
b31,Birds,Birds,Apus apus,common swift,bApuApu2,bApuApu2.pri,GCA_020740795.1,GCF_020740795.1,GCF_020740795.1,"CLR, FALCON unzip",F
b32,Birds,Birds,Hemiprocne comata,whiskered treeswift,bHemCom1,bHemCom1.pri,GCA_020745705.1,,GCA_020745705.1,"CLR I, FALCON unzip",F
b33,Birds,Birds,Caprimulgus europaeus,Eurasian nightjar,bCapEur3,bCapEur3.pri,GCA_907165065.1,,GCA_907165065.1,"CLR II, FALCON unzip",F
b34,Birds,Birds,Aegotheles albertisi,mountain owlet-nightjar,bAegAlb1,bAegAlb1.hap1,GCA_039906565.1,,GCA_039906565.1,"HiFi, Hifiasm Hi-C phasing",F
b35,Birds,Birds,Podargus strigoides,tawny frogmouth,bPodStr1,bPodStr1.pri,GCA_028020825.1,,GCA_028020825.1,"HiFi, Hifiasm solo",F
b36,Birds,Birds,Steatornis caripensis,oilbird,,,,,,,
b37,Birds,Birds,Nyctibius grandis,great potoo,bNycGra1,bNycGra1.pri,GCA_013368605.1,GCF_013368605.1,GCF_013368605.1,"CLR I, FALCON unzip",F
b38,Birds,Birds,Chlamydotis macqueenii,MacQueen's bustard,bChlMac1,bChlMac1.mat,GCA_036417535.1,,GCA_036417535.1,"HiFi, Hifiasm trio",F
b39,Birds,Birds,Tauraco erythrolophus,red-crested turaco,bTauEry1,bTauEry1.pri,GCA_009769465.1,,GCA_009769465.1,"CLR I, FALCON unzip",F
b40,Birds,Birds,Cuculus canorus,common cuckoo,bCucCan1,bCucCan1.pri,GCA_017976375.1,GCF_017976375.1,GCF_017976375.1,"CLR II, FALCON unzip",F
b41,Birds,Birds,Monias benschi,subdesert mesite,,,,,,,
b42,Birds,Birds,Pterocles gutturalis,yellow-throated sandgrouse,bPteGut1,bPteGut1.pri,GCA_009769525.1,,GCA_009769525.1,"CLR I, FALCON unzip",M
b43,Birds,Birds,Streptopelia turtur,European turtle dove,bStrTur1,bStrTur12.pri,GCA_901699155.2,,GCA_901699155.2,"CLR II, FALCON unzip",F
b43,Birds,Birds,Streptopelia decaocto,Eurasian collared-dove,bStrDea1,bStrDea1.hap1,GCA_964273445.1,,GCA_964273445.1,"HiFi, Hifiasm Hi-C phasing",M
b43,Birds,Birds,Nesoenas mayeri,pink pigeon,bNesMay2,bNesMay2.pri,GCA_963082525.1,,GCA_963082525.1,"HiFi, HiFiasm solo",F
b43,Birds,Birds,Caloenas nicobarica,Nicobar pigeon,bCalNic1,bCalNic1.hap1,GCA_036013445.1,GCF_036013445.1,GCF_036013445.1,"HiFi, Hifiasm Hi-C phasing",M
b43,Birds,Birds,Patagioenas fasciata,band-tailed pigeon,bPatFas1,bPatFas1.hap1,GCA_037038585.2,GCF_037038585.1,GCF_037038585.1,"HiFi, Hifiasm Hi-C phasing",F
b43,Birds,Birds,Columba livia,rock dove,bColLiv1,bColLiv1.pat,GCA_036013475.2,GCF_036013475.1,GCF_036013475.1,"HiFi, Hifiasm + Trio phasing",F
b44,Birds,Birds,Phoenicopterus ruber,American flamingo,bPhoRub2,bPhoRub2.pri,GCA_009819775.1,,GCA_009819775.1,"CLR I, FALCON unzip",F
b45,Birds,Birds,Aechmophorus clarkii,Clark’s grebe,bAecCla1,bAecCla1.hap1,,,,,
b46,Birds,Birds,Gallus gallus,white leghorn layer chicken,bGalGal1,bGalGal1.pat.layer,GCA_016700215.2,GCF_016700215.2,GCF_016700215.2,"CLR I, TrioCanu",F
b46,Birds,Birds,Lagopus muta,rock ptarmigan,bLagMut1,bLagMut1.pri,GCA_023343835.1,GCF_023343835.1,GCF_023343835.1,"HiFi, Hifiasm solo",F
b46,Birds,Birds,Tetrao urogallus,Western capercaillie,bTetUro1.1,bTetUro1.1.pri,GCA_951394365.1,,GCA_951394365.1,"HiFi, Hifiasm solo",M
b46,Birds,Birds,Coturnix chinensis,king quail,bCotChi1,bCotChi1.hap2,GCA_039878825.1,,GCA_039878825.1,"HiFi, Hifiasm Hi-C phasing",M
b47,Birds,Birds,Aythya fuligula,tufted duck,bAytFul2,bAytFul2.pri,GCA_009819795.1,GCF_009819795.1,GCF_009819795.1,"CLR, FALCON unzip",F
b47,Birds,Birds,Aythya ferina,common pochard,bAytFer1,bAytFer1.hap1,GCA_964211825.1,,GCA_964211825.1,"HiFi, Hifiasm Hi-C phasing",F
b47,Birds,Birds,Aythya marila,greater scaup,bAytMar2,bAytMar2.hap1,GCA_965140915.1,,GCA_965140915.1,"HiFi, Hifiasm Hi-C phasing",F
b47,Birds,Birds,Netta rufina,red-crested pochard,bNetRuf1,bNetRuf1.pri,GCA_964035555.1,,GCA_964035555.1,"HiFi, Hifiasm solo",F
b47,Birds,Birds,Anas platyrhynchos,mallard,bAnaPla2,bAnaPla2.hap1,GCA_964188345.1,,GCA_964188345.1,"HiFi, Hifiasm Hi-C phasing",F
b47,Birds,Birds,Cygnus olor,mute swan,bCygOlo1,bCygOlo1.2.pri,GCA_009769625.2,GCF_009769625.2,GCF_009769625.2,"CLR I, FALCON unzip",F
b47,Birds,Birds,Anas acuta,northern pintail,bAnaAcu1,bAnaAcu1.pri,GCA_963932015.1,GCF_963932015.1,GCF_963932015.1,"HiFi, Hifiasm solo",F
b47,Birds,Birds,Branta canadensis,Canada goose,bBraCan1,bBraCan1.pri,GCA_965231335.1,,GCA_965231335.1,"HiFi, Hifiasm solo",M
b47,Birds,Birds,Anser cygnoides,swan goose,bAnsCyg1,bAnsCyg1.pri,GCA_040182565.1,GCF_040182565.1,GCF_040182565.1,"HiFi, ONT, Hifiasm and Nextdenovo",F
b47,Birds,Birds,Anser brachyrhynchus,pink-footed goose,bAnsBra1,bAnsBra1.pri,GCA_964034855.1,,GCA_964034855.1,"HiFi, Hifiasm solo",F
b47,Birds,Birds,Anser anser,domestic goose,bAnsAns1,bAnsAns1.hap1,GCA_964211835.1,,GCA_964211835.1,"HiFi, Hifiasm Hi-C phasing",F
b47,Birds,Birds,Bucephala clangula,common goldeneye,bBucCla1,bBucCla1.pri,GCA_964059595.1,,GCA_964059595.1,"HiFi, Hifiasm solo",M
b47,Birds,Birds,Clangula hyemalis,long-tailed duck,bClaHye2,bClaHye2.1.pri,GCA_963989345.1,,GCA_963989345.1,"HiFi, Hifiasm solo",M
b47,Birds,Birds,Cygnus columbianus,tundra swan,bCygCol1,bCygCol1.pri,GCA_965151615.1,,GCA_965151615.1,"HiFi, Hifiasm solo",F
b47,Birds,Birds,Mergus octosetaceus,Brazilian merganser,bMerOct1,bMerOct1.hap1,GCA_036873955.1,,GCA_036873955.1,"HiFi, Hifiasm Hi-C phasing",F
b48,Birds,Birds,Struthio camelus australis,common ostrich,bStrCam1,bStrCam1.hap1,GCA_040807025.1,GCF_040807025.1,GCF_040807025.1,"HiFi, Hifiasm Hi-C phasing",F
b49,Birds,Birds,Eudromia elegans,elegant crested tinamou,bEudEle1,bEudEle1.hap1,GCA_047922985.1,,GCA_047922985.1,"HiFi, Hifiasm Hi-C phasing",F
b50,Birds,Birds,Dromaius novaehollandiae,emu,bDroNov1,bDroNov1.hap1,GCA_036370855.1,GCF_036370855.1,GCF_036370855.1,"HiFi, Hifiasm Hi-C phasing",F
b51,Birds,Birds,Apteryx mantelli,North Island brown kiwi,bAptMan1,bAptMan1.hap1,GCA_036417845.1,GCF_036417845.1,GCF_036417845.1,"HiFi, Hifiasm Hi-C phasing",M
b52,Birds,Birds,Rhea pennata,lesser rhea ,bPtePen1,bPtePen1.pri,GCA_028389875.1,GCF_028389875.1,GCF_028389875.1,"HiFi, Hifiasm solo",M
r1,Reptiles,Crocodilians,Crocodylus niloticus,Nile crocodile,,,,,,,
r2,Reptiles,Crocodilians,Alligator mississippiensis,American alligator,rAllMis1,rAllMis1.hap2,GCA_030867095.1,GCF_030867095.1,GCF_030867095.1,"HiFiasm, Hi-C phasing",F
r3,Reptiles,Crocodilians,Gavialis gangeticus,Indian gharial,rGavGan2,rGavGan2.hap2,GCA_030020295.1,,GCA_030020295.1,"HiFi, Hifiasm solo",M
r4,Reptiles,Turtles,Carettochelys insculpta,pig-nosed turtle,ASM3395843v1,rCarIns1,GCA_033958435.1,,GCA_033958435.1,"HiFi, Hifiasm solo",UN
r5,Reptiles,Turtles,Chelonia mydas,green sea turtle,rCheMyd1,rCheMyd1.pri,GCA_015237465.2,GCF_015237465.2,GCF_015237465.2,"CLR I, FALCON unzip",M
r5,Reptiles,Turtles,Caretta caretta,loggerhead sea turtle,rCarCar2,rCarCar2.hap1,GCA_965140235.1,,GCA_965140235.1,"HiFiasm, Hi-C phasing",F
r5,Reptiles,Turtles,Lepidochelys kempii,Kemp's ridley sea turtle,rLepKem1,rLepKem1.hap1,GCA_965140285.1,,GCA_965140285.1,"HiFiasm, Hi-C phasing",UN
r5,Reptiles,Turtles,Lepidochelys olivacea,Pacific ridley,rLepOli2,rLepOli2.hap1,GCA_965140295.1,,GCA_965140295.1,"HiFiasm, Hi-C phasing",F
r5,Reptiles,Turtles,Natator depressus,Australian flatback sea turtle,rNatDep1,rNatDep1.hap1,GCA_965152275.1,,GCA_965152275.1,"HiFiasm, Hi-C phasing",F
r5,Reptiles,Turtles,Eretmochelys imbricata,Hawksbill sea turtle,rEreImb1,rEreImb1.hap1,GCA_965152235.1,,GCA_965152235.1,,
r6,Reptiles,Turtles,Macrochelys suwanniensis,Suwannee snapping turtle,rMacSuw1,rMacSuw1.hap2,GCA_033349115.1,,GCA_033349115.1,"HiFiasm, Hi-C phasing",M
r7,Reptiles,Turtles,Dermatemys mawii,Central American river turtle,,,,,,,
r8,Reptiles,Turtles,Dermochelys coriacea,leatherback sea turtle,rDerCor1,rDerCor1.4.pri,GCA_009764565.4,GCF_009764565.3,GCF_009764565.3,"CLR I, FALCON unzip",M
r9,Reptiles,Turtles,Emys orbicularis,European pond turtle,rEmyOrb1,rEmyOrb1.hap1,GCA_028017835.1,GCF_028017835.1,GCF_028017835.1,"HiFi, Hifiasm Hi-C phasing",F
r9,Reptiles,Turtles,Malaclemys terrapin,diamondback terrapin,rMalTer1,rMalTer1.hap1,GCA_027887155.1,GCF_027887155.1,GCF_027887155.1,"HiFi, Hifiasm Hi-C phasing",M
r10,Reptiles,Turtles,Pangshura tecta,Indian roofed turtle,rPanTec1,rPanTec1.hap2,GCA_045781085.1,,GCA_045781085.1,"HiFi, Hifiasm Hi-C phasing",M
