Accession	Technology
GCA_963422515.1	HiFi
GCA_963454915.1	HiFi
GCA_963457635.1	HiFi
GCA_963457725.1	HiFi
GCA_963514085.1	HiFi
GCA_963514095.1	HiFi
GCA_963691815.1	HiFi
GCA_963854745.1	HiFi
GCA_963921795.1	HiFi
GCA_963924005.1	HiFi
GCA_963969265.1	HiFi
GCA_963971535.1	HiFi
GCA_963989245.1	HiFi
GCA_963993115.1	HiFi
GCA_964030765.1	HiFi
GCA_964188405.1	HiFi
GCA_964197995.1	HiFi
GCA_964263955.1	HiFi
GCA_964266715.1	HiFi
GCA_964276395.1	HiFi
GCA_964638095.1	HiFi
GCA_965113295.1	HiFi
GCA_965226115.1	ONT
GCA_965226575.1	HiFi
GCF_007364275.1	CLR
GCF_009762535.1	CLR
GCF_009769545.1	CLR
GCF_009819705.1	CLR
GCF_009829125.3	CLR
GCF_011004845.1	CLR
GCF_013347855.1	CLR
GCF_013368585.1	CLR
GCF_015220715.1	CLR
GCF_015220745.1	CLR
GCF_017639745.1	CLR
GCF_017976325.1	CLR
GCF_017976425.1	CLR
GCF_018492685.1	HiFi
GCF_020382885.2	CLR
GCF_021462225.1	CLR
GCF_023375975.1	HiFi
GCF_027358585.1	HiFi
GCF_027409825.1	HiFi
GCF_027579695.1	HiFi
GCF_029633855.1	HiFi
GCF_029633865.1	HiFi
GCF_030014385.1	HiFi
GCF_030463535.1	HiFi
GCF_036373705.1	HiFi
GCF_039877785.1	HiFi
GCF_040954835.1	HiFi
GCF_042242105.1	HiFi
GCF_043641665.1	HiFi
GCF_900324465.2	CLR
GCF_900324485.2	CLR
GCF_900634415.1	CLR
GCF_900634625.1	CLR
GCF_900634775.1	CLR
GCF_900634795.4	CLR
GCF_900700375.1	CLR
GCF_900747795.2	CLR
GCF_900880675.1	CLR
GCF_900963305.1	CLR
GCF_900964775.1	CLR
GCF_901000725.2	CLR
GCF_901709675.1	CLR
GCF_902148845.1	CLR
GCF_902148855.1	CLR
GCF_902150065.1	CLR
GCF_902167405.1	CLR
GCF_902362185.1	CLR
GCF_902500255.1	CLR
GCF_902713425.1	HiFi
GCF_904848185.1	CLR
GCF_910596095.1	HiFi
GCF_914725855.1	HiFi
GCF_947347685.1	HiFi
GCF_949316205.1	HiFi
GCF_949316345.1	HiFi
GCF_958295425.1	HiFi
GCF_963082965.1	HiFi
GCF_963514075.1	HiFi
GCF_963576545.1	HiFi
GCF_963584025.1	HiFi
GCF_963691925.1	HiFi
GCF_963692335.1	HiFi
GCF_963854185.1	HiFi
GCF_963924715.1	HiFi
GCF_963930695.1	HiFi
GCA_003287225.2	CLR
GCA_005190385.3	CLR
GCA_009914755.4	HiFi
GCA_011762505.3	CLR
GCA_022682495.2	HiFi
GCA_023851605.1	CLR
GCA_026018925.1	CLR
GCA_026229955.1	HiFi
GCA_027563665.1	CLR
GCA_028451465.1	CLR
GCA_028571685.1	HiFi
GCA_030035585.1	HiFi
GCA_030848825.1	HiFi
GCA_031876335.1	HiFi
GCA_031878675.1	HiFi
GCA_031878705.1	HiFi
GCA_036417435.1	CLR
GCA_036426135.1	HiFi
GCA_037038515.1	HiFi
GCA_037038545.1	HiFi
GCA_037157525.1	HiFi
GCA_037893015.1	CLR
GCA_038363095.2	HiFi
GCA_038363145.1	HiFi
GCA_039655065.1	HiFi
GCA_039880945.1	HiFi
GCA_040805955.1	HiFi
GCA_040955705.1	HiFi
GCA_041735815.1	HiFi
GCA_041834305.1	HiFi
GCA_043290085.1	HiFi
GCA_043727835.1	HiFi
GCA_043728065.1	HiFi
GCA_043728145.1	HiFi
GCA_043748575.1	HiFi
GCA_043748645.1	HiFi
GCA_043880285.1	HiFi
GCA_043880425.1	HiFi
GCA_043880545.1	HiFi
GCA_043880595.1	HiFi
GCA_045843805.1	HiFi
GCA_046562885.1	HiFi
GCA_046562895.1	HiFi
GCA_047511655.1	HiFi
GCA_048126345.1	HiFi
GCA_048126745.1	HiFi
GCA_048338725.1	HiFi
GCA_048565385.1	HiFi
GCA_048593225.1	HiFi
GCA_048593235.1	HiFi
GCA_048593285.1	HiFi
GCA_048771875.1	HiFi
GCA_048772815.1	HiFi
GCA_049354715.1	CLR
GCA_902686455.2	CLR
GCA_903992545.1	CLR
GCA_905319855.2	HiFi
GCA_949316315.1	HiFi
GCA_949752795.1	HiFi
GCA_949987585.1	HiFi
GCA_951394435.1	HiFi
GCA_951640355.1	HiFi
GCA_963383645.1	HiFi
GCA_963455305.1	HiFi
GCA_963455335.1	HiFi
GCA_963924515.1	HiFi
GCA_963924665.1	HiFi
GCA_964094495.2	HiFi
GCA_964106545.1	HiFi
GCA_964106825.2	HiFi
GCA_964146895.2	HiFi
GCA_964165515.1	HiFi
GCA_964194105.1	HiFi
GCA_964194135.1	HiFi
GCA_964194185.1	HiFi
GCA_964212035.2	HiFi
GCA_964264875.2	HiFi
GCA_964270905.1	HiFi
GCA_964271855.1	HiFi
GCA_964339955.1	HiFi
GCA_964341445.1	HiFi
GCA_964374135.1	HiFi
GCA_964656225.1	HiFi
GCA_964656455.1	HiFi
GCA_964662115.1	HiFi
GCA_965115925.1	HiFi
GCA_965194805.1	HiFi
GCA_965194825.1	HiFi
GCF_003369695.1	CLR
GCF_004115215.2	CLR
GCF_004115265.2	CLR
GCF_004126475.2	CLR
GCF_007474595.2	CLR
GCF_008692025.1	CLR
GCF_009762305.2	CLR
GCF_009829155.1	CLR
GCF_009873245.2	CLR
GCF_011100635.1	CLR
GCF_011100685.1	CLR
GCF_011762595.1	CLR
GCF_014108235.1	CLR
GCF_014108245.1	CLR
GCF_014108415.1	CLR
GCF_014176215.1	CLR
GCF_015220235.1	CLR
GCF_015227675.2	CLR
GCF_015852505.1	CLR
GCF_019393635.1	CLR
GCF_020740605.2	HiFi
GCF_020740685.1	CLR
GCF_020826845.1	HiFi
GCF_024139225.1	CLR
GCF_024166365.1	HiFi
GCF_025265405.1	HiFi
GCF_026419965.1	HiFi
GCF_027406575.1	HiFi
GCF_027409185.1	HiFi
GCF_027574615.1	CLR
GCF_027595985.1	HiFi
GCF_027887165.1	HiFi
GCF_028018385.1	HiFi
GCF_028021215.1	HiFi
GCF_028023285.1	HiFi
GCF_028372415.1	HiFi
GCF_028564815.1	HiFi
GCF_028858775.2	HiFi
GCF_028878055.3	HiFi
GCF_028885625.2	HiFi
GCF_028885655.2	HiFi
GCF_029281585.2	HiFi
GCF_029289425.2	HiFi
GCF_030014295.1	HiFi
GCF_030020395.1	HiFi
GCF_030028045.1	HiFi
GCF_030435755.1	HiFi
GCF_030435805.1	HiFi
GCF_030445035.2	HiFi
GCF_036321535.1	HiFi
GCF_036850765.1	CLR
GCF_036850995.1	CLR
GCF_037993035.1	HiFi
GCF_039906515.1	HiFi
GCF_042477335.2	HiFi
GCF_043159975.1	HiFi
GCF_047511675.1	HiFi
GCF_048164855.1	HiFi
GCF_902655055.1	CLR
GCF_903992535.2	CLR
GCF_903995425.1	CLR
GCF_903995435.1	CLR
GCF_910594005.1	HiFi
GCF_922984935.1	HiFi
GCF_937001465.1	HiFi
GCF_947179515.1	HiFi
GCF_949774975.1	HiFi
GCF_949987515.2	HiFi
GCF_949987535.1	HiFi
GCF_950005125.1	HiFi
GCF_950295315.1	HiFi
GCF_963259705.1	HiFi
GCF_963455315.2	HiFi
GCF_963924675.1	HiFi
GCF_963930625.1	HiFi
GCF_964237555.1	HiFi
GCA_040939525.1	CLR
GCA_048934315.1	CLR
GCA_964187855.1	HiFi
GCA_964198595.1	HiFi
GCF_037176945.1	HiFi
GCA_021292165.1	CLR
GCA_023333525.2	HiFi
GCA_024294585.1	HiFi
GCA_029215775.1	HiFi
GCA_030020295.1	HiFi
GCA_030412105.1	HiFi
GCA_030440675.1	HiFi
GCA_030867105.1	HiFi
GCA_032164245.1	HiFi
GCA_033349115.1	HiFi
GCA_033958435.1	HiFi
GCA_035046505.1	HiFi
GCA_040894355.2	HiFi
GCA_045364815.1	HiFi
GCA_045781085.1	HiFi
GCA_046126795.1	HiFi
GCA_047715975.1	HiFi
GCA_947247035.1	HiFi
GCA_951804945.1	HiFi
GCA_964106645.2	HiFi
GCA_964106915.2	HiFi
GCA_964188175.1	HiFi
GCA_964188305.1	HiFi
GCA_964188315.1	HiFi
GCA_964194415.1	HiFi
GCA_964234715.1	HiFi
GCA_964252035.1	HiFi
GCA_964270895.1	HiFi
GCA_964273705.1	HiFi
GCA_965112155.1	HiFi
GCA_965113315.1	HiFi
GCA_965140235.1	HiFi
GCA_965140285.1	HiFi
GCA_965140295.1	HiFi
GCA_965152235.1	HiFi
GCA_965152275.1	HiFi
GCA_965153285.1	HiFi
GCF_007399415.2	CLR
GCF_009764565.3	CLR
GCF_009769535.1	CLR
GCF_009819535.1	CLR
GCF_015237465.2	CLR
GCF_023053635.1	HiFi
GCF_025201925.1	CLR
GCF_027172205.1	HiFi
GCF_027887155.1	HiFi
GCF_028017835.1	HiFi
GCF_028583425.1	HiFi
GCF_029931775.1	HiFi
GCF_030035675.1	HiFi
GCF_030867095.1	HiFi
GCF_031021105.1	HiFi
GCF_035149785.1	HiFi
GCF_037176765.1	HiFi
GCF_963506605.1	HiFi
GCA_035084275.1	HiFi
GCA_963514005.1	HiFi
GCA_964194155.1	HiFi
GCA_964213995.1	HiFi
GCF_009764475.1	CLR
GCF_010909765.2	CLR
GCF_017639515.1	CLR
GCF_020745735.1	CLR
GCF_030028105.1	HiFi
GCF_030144855.1	HiFi
GCF_030684315.1	HiFi
GCF_035084215.1	HiFi
GCF_036365525.1	HiFi
GCF_036971445.1	HiFi
GCF_044704955.1	HiFi
GCF_902713615.1	CLR
GCA_026230055.1	HiFi
GCA_036971685.2	HiFi
GCA_043250625.1	HiFi
GCA_048771995.1	HiFi
GCA_964374335.1	ONT
GCF_902686445.1	CLR
